"","sample_year","haul_date","cruise_id","event_code","station_id","gear","gear_performance","tow_type","nbs_strata","master_station_name","oceanographic_domain","large_marine_ecosystem","region","eq_latitude","eq_longitude","species_tsn","common_name","scientific_name","lhs_code","salmon_maturity","sex","length","length_type","weight","scale_card_number","scale_card_position","otolith_number","stomach_flag","genetic_number","genetic_flag","fish_number","scale_position_pref_code","gonad_weight","caloric_number","isotope_number","stomach_number","barcode","fat_meter","event_notes","specimen_notes","corrected_length"
"1",2011,"2011-08-31","DY1104",3,20110304033,"CAN","S","S",0,"57-165",2,"Bering Sea","SEBS",56.9752,-165.0327,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",NA,NA,NA,NA,NA,NA,0,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,"original length 308, removed",NA
"2",2012,"2012-09-24","BE1201",3,20120801164,"CAN","G","S",1,"60.5-168",1,"Bering Sea","NBS",60.5444,-168.0078,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",NA,NA,NA,NA,NA,NA,0,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2018,"2018-09-02","NW1801",3,20180201008,"CAN","G","S",1,"61-167",1,"Bering Sea","NBS",61.0007,-166.9909,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",NA,NA,NA,NA,NA,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,"we note that there seems to be a 4 meter difference in the ships depth vs the depth from the 3rd wire connected to the headrope",NA,NA
"4",2018,"2018-09-02","NW1801",3,20180201008,"CAN","G","S",1,"61-167",1,"Bering Sea","NBS",61.0007,-166.9909,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",NA,NA,NA,NA,NA,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,"we note that there seems to be a 4 meter difference in the ships depth vs the depth from the 3rd wire connected to the headrope",NA,NA
"5",2018,"2018-09-02","NW1801",3,20180201008,"CAN","G","S",1,"61-167",1,"Bering Sea","NBS",61.0007,-166.9909,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",NA,NA,NA,NA,NA,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,"we note that there seems to be a 4 meter difference in the ships depth vs the depth from the 3rd wire connected to the headrope",NA,NA
"6",2018,"2018-09-02","NW1801",3,20180201008,"CAN","G","S",1,"61-167",1,"Bering Sea","NBS",61.0007,-166.9909,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",NA,NA,NA,NA,NA,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,"we note that there seems to be a 4 meter difference in the ships depth vs the depth from the 3rd wire connected to the headrope",NA,NA
"7",2018,"2018-09-02","NW1801",3,20180201008,"CAN","G","S",1,"61-167",1,"Bering Sea","NBS",61.0007,-166.9909,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",NA,NA,NA,NA,NA,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,"we note that there seems to be a 4 meter difference in the ships depth vs the depth from the 3rd wire connected to the headrope",NA,NA
"8",2018,"2018-09-02","NW1801",3,20180201008,"CAN","G","S",1,"61-167",1,"Bering Sea","NBS",61.0007,-166.9909,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",NA,NA,NA,NA,NA,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,"we note that there seems to be a 4 meter difference in the ships depth vs the depth from the 3rd wire connected to the headrope",NA,NA
"9",2018,"2018-09-02","NW1801",3,20180201008,"CAN","G","S",1,"61-167",1,"Bering Sea","NBS",61.0007,-166.9909,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",NA,NA,NA,NA,NA,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,"we note that there seems to be a 4 meter difference in the ships depth vs the depth from the 3rd wire connected to the headrope",NA,NA
"10",2018,"2018-09-02","NW1801",3,20180201008,"CAN","G","S",1,"61-167",1,"Bering Sea","NBS",61.0007,-166.9909,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",NA,NA,NA,NA,NA,NA,0,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,"we note that there seems to be a 4 meter difference in the ships depth vs the depth from the 3rd wire connected to the headrope",NA,NA
