"sample_year","haul_date","cruise_id","event_code","station_id","gear","gear_performance","tow_type","nbs_strata","master_station_name","oceanographic_domain","large_marine_ecosystem","region","eq_latitude","eq_longitude","species_tsn","common_name","scientific_name","lhs_code","salmon_maturity","sex","length","length_type","weight","scale_card_number","scale_card_position","otolith_number","stomach_flag","genetic_number","genetic_flag","fish_number","scale_position_pref_code","gonad_weight","caloric_number","isotope_number","stomach_number","barcode","fat_meter","event_notes","specimen_notes","corrected_length"
2003,2003-09-07,"SS0301",3,20030101060,"CAN","S","S",0,"59.25-165",1,"Bering Sea","SEBS",59.2578,-164.9752,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",67,"TL",NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.17406
2003,2003-09-07,"SS0301",3,20030101064,"CAN","S","S",0,"58.25-164",1,"Bering Sea","SEBS",58.2733,-163.892,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",107,"TL",9,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"Trawl distance seems long (7.6km) start and stop coordinates, time, matches original logbook.",NA,99.11766
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",55,"TL",NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.09098
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",60,"TL",NA,NA,NA,NA,0,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.70893
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",60,"TL",NA,NA,NA,NA,0,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.70893
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",60,"TL",NA,NA,NA,NA,0,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.70893
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",60,"TL",NA,NA,NA,NA,0,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.70893
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",60,"TL",NA,NA,NA,NA,0,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.70893
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",60,"TL",NA,NA,NA,NA,0,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.70893
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",60,"TL",NA,NA,NA,NA,0,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.70893
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",60,"TL",NA,NA,NA,NA,0,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.70893
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",65,"TL",NA,NA,NA,NA,0,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.32688
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",65,"TL",NA,NA,NA,NA,0,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.32688
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",65,"TL",NA,NA,NA,NA,0,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.32688
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",65,"TL",NA,NA,NA,NA,0,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.32688
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",65,"TL",NA,NA,NA,NA,0,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.32688
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",65,"TL",NA,NA,NA,NA,0,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.32688
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",65,"TL",NA,NA,NA,NA,0,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.32688
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",65,"TL",NA,NA,NA,NA,0,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.32688
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",65,"TL",NA,NA,NA,NA,0,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.32688
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",65,"TL",NA,NA,NA,NA,0,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.32688
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",65,"TL",NA,NA,NA,NA,0,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.32688
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",65,"TL",NA,NA,NA,NA,0,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.32688
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",70,"TL",NA,NA,NA,NA,0,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.94483
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",70,"TL",NA,NA,NA,NA,0,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.94483
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",70,"TL",NA,NA,NA,NA,0,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.94483
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",70,"TL",NA,NA,NA,NA,0,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.94483
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",70,"TL",NA,NA,NA,NA,0,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.94483
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",70,"TL",NA,NA,NA,NA,0,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.94483
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",70,"TL",NA,NA,NA,NA,0,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.94483
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",70,"TL",NA,NA,NA,NA,0,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.94483
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",70,"TL",NA,NA,NA,NA,0,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.94483
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",70,"TL",NA,NA,NA,NA,0,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.94483
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",70,"TL",NA,NA,NA,NA,0,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.94483
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",70,"TL",NA,NA,NA,NA,0,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.94483
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",70,"TL",NA,NA,NA,NA,0,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.94483
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",70,"TL",NA,NA,NA,NA,0,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.94483
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",70,"TL",NA,NA,NA,NA,0,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.94483
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",75,"TL",NA,NA,NA,NA,0,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.56278
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",75,"TL",NA,NA,NA,NA,0,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.56278
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",75,"TL",NA,NA,NA,NA,0,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.56278
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",75,"TL",NA,NA,NA,NA,0,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.56278
2003,2003-09-08,"SS0301",3,20030101065,"CAN","S","S",0,"58-164",1,"Bering Sea","SEBS",58.0188,-163.995,934083,"Pollock","Gadus chalcogrammus","A0",NA,"U",75,"TL",NA,NA,NA,NA,0,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.56278
