"","sample_year","haul_date","cruise_id","event_code","station_id","gear","gear_performance","tow_type","nbs_strata","master_station_name","oceanographic_domain","large_marine_ecosystem","region","eq_latitude","eq_longitude","species_tsn","common_name","scientific_name","lhs_code","salmon_maturity","sex","length","length_type","weight","scale_card_number","scale_card_position","otolith_number","stomach_flag","genetic_number","genetic_flag","fish_number","scale_position_pref_code","gonad_weight","caloric_number","isotope_number","stomach_number","barcode","fat_meter","event_notes","specimen_notes"
"1",2014,2014-08-19,"DY1408",3,20140308005,"CAN","G","S",0,"56.5-162",2,"Bering Sea","SEBS",56.533,-162.001,934083,"Pollock","Gadus chalcogrammus","U",NA,"U",564,"TL",1562,NA,NA,NA,0,NA,NA,301,NA,NA,NA,NA,NA,NA,NA,"Footrope depth based on ITI sensor 19-22m. Vessel speed 3.9-41kts.",NA
"2",2014,2014-08-19,"DY1408",3,20140308005,"CAN","G","S",0,"56.5-162",2,"Bering Sea","SEBS",56.533,-162.001,934083,"Pollock","Gadus chalcogrammus","U",NA,"U",630,"TL",1260,NA,NA,NA,0,NA,NA,299,NA,NA,NA,NA,NA,NA,NA,"Footrope depth based on ITI sensor 19-22m. Vessel speed 3.9-41kts.",NA
"3",2014,2014-08-19,"DY1408",3,20140308005,"CAN","G","S",0,"56.5-162",2,"Bering Sea","SEBS",56.533,-162.001,934083,"Pollock","Gadus chalcogrammus","U",NA,"U",670,"TL",2058,NA,NA,NA,0,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,"Footrope depth based on ITI sensor 19-22m. Vessel speed 3.9-41kts.",NA
"4",2014,2014-08-18,"DY1408",3,20140308001,"CAN","G","S",0,"55.5-163",1,"Bering Sea","SEBS",55.529,-163.009,934083,"Pollock","Gadus chalcogrammus","U",NA,"U",557,"TL",1346,NA,NA,NA,0,NA,NA,455,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2014,2014-08-18,"DY1408",3,20140308001,"CAN","G","S",0,"55.5-163",1,"Bering Sea","SEBS",55.529,-163.009,934083,"Pollock","Gadus chalcogrammus","U",NA,"U",584,"TL",1626,NA,NA,NA,0,NA,NA,458,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2014,2014-08-18,"DY1408",3,20140308001,"CAN","G","S",0,"55.5-163",1,"Bering Sea","SEBS",55.529,-163.009,934083,"Pollock","Gadus chalcogrammus","U",NA,"U",592,"TL",1378,NA,NA,NA,0,NA,NA,457,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2014,2014-08-18,"DY1408",3,20140308001,"CAN","G","S",0,"55.5-163",1,"Bering Sea","SEBS",55.529,-163.009,934083,"Pollock","Gadus chalcogrammus","U",NA,"U",618,"TL",1612,NA,NA,NA,0,NA,NA,456,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2014,2014-08-18,"DY1408",3,20140308001,"CAN","G","S",0,"55.5-163",1,"Bering Sea","SEBS",55.529,-163.009,934083,"Pollock","Gadus chalcogrammus","U",NA,"U",680,"TL",2204,NA,NA,NA,0,NA,NA,454,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2014,2014-08-19,"DY1408",3,20140308003,"CAN","G","S",0,"56-163",2,"Bering Sea","SEBS",56.002,-162.978,934083,"Pollock","Gadus chalcogrammus","U",NA,"U",655,"TL",1696,NA,NA,NA,0,NA,NA,104,NA,NA,NA,NA,NA,NA,NA,"Footrope depth based on ITI sensor - 20-22m.  Vessel speed 4.1-4.3kts.",NA
"10",2014,2014-08-20,"DY1408",3,20140308008,"CAN","G","S",0,"57.5-162",1,"Bering Sea","SEBS",57.524,-161.996,934083,"Pollock","Gadus chalcogrammus","U",NA,"U",636,"TL",1590,NA,NA,NA,0,NA,NA,214,NA,NA,NA,NA,NA,NA,NA,"Foorope depth based on ITI sensor 20-22m.  Vessel speed 3.9 (thru the water).  ",NA
"11",2014,2014-08-20,"DY1408",3,20140308010,"CAN","G","S",0,"56.5-163",2,"Bering Sea","SEBS",56.531,-162.978,934083,"Pollock","Gadus chalcogrammus","U",NA,"U",180,"TL",46,NA,NA,NA,1,NA,NA,292,NA,NA,NA,NA,NA,NA,NA,"Footrope depth based on ITI sensor 21-23m.  Vessel speed 4.1-4.2.","DIET "
"12",2014,2014-08-20,"DY1408",3,20140308010,"CAN","G","S",0,"56.5-163",2,"Bering Sea","SEBS",56.531,-162.978,934083,"Pollock","Gadus chalcogrammus","U",NA,"U",185,"TL",56,NA,NA,NA,1,NA,NA,289,NA,NA,NA,NA,NA,NA,NA,"Footrope depth based on ITI sensor 21-23m.  Vessel speed 4.1-4.2.","DIET "
"13",2014,2014-08-20,"DY1408",3,20140308010,"CAN","G","S",0,"56.5-163",2,"Bering Sea","SEBS",56.531,-162.978,934083,"Pollock","Gadus chalcogrammus","U",NA,"U",186,"TL",52,NA,NA,NA,1,NA,NA,312,NA,NA,NA,NA,NA,NA,NA,"Footrope depth based on ITI sensor 21-23m.  Vessel speed 4.1-4.2.","DIET "
"14",2014,2014-08-20,"DY1408",3,20140308010,"CAN","G","S",0,"56.5-163",2,"Bering Sea","SEBS",56.531,-162.978,934083,"Pollock","Gadus chalcogrammus","U",NA,"U",187,"TL",56,NA,NA,NA,1,NA,NA,302,NA,NA,NA,NA,NA,NA,NA,"Footrope depth based on ITI sensor 21-23m.  Vessel speed 4.1-4.2.","DIET "
"15",2014,2014-08-20,"DY1408",3,20140308010,"CAN","G","S",0,"56.5-163",2,"Bering Sea","SEBS",56.531,-162.978,934083,"Pollock","Gadus chalcogrammus","U",NA,"U",189,"TL",50,NA,NA,NA,1,NA,NA,296,NA,NA,NA,NA,NA,NA,NA,"Footrope depth based on ITI sensor 21-23m.  Vessel speed 4.1-4.2.","DIET "
